"","date","opens","messages_received","messages_sent","likes","passes","matches"
"1",2014-11-12,0,0,0,24,40,1
"2",2014-11-13,0,0,0,8,23,0
"3",2014-11-14,0,0,0,3,18,0
"4",2014-11-16,0,0,0,12,50,1
"5",2014-11-17,0,0,0,6,28,1
"6",2014-11-18,0,0,0,9,38,1
"7",2014-11-19,0,0,0,9,21,0
"8",2014-11-20,0,0,0,8,13,0
"9",2014-12-01,0,0,0,8,34,0
"10",2014-12-02,0,0,0,9,41,0
"11",2014-12-05,0,0,0,33,64,1
"12",2014-12-06,0,0,0,19,26,1
"13",2014-12-07,0,0,0,14,31,0
"14",2014-12-08,0,0,0,12,22,0
"15",2014-12-09,0,0,0,22,40,0
"16",2014-12-10,0,0,0,1,6,0
"17",2014-12-16,0,0,0,2,2,0
"18",2014-12-17,0,0,0,0,0,1
"19",2014-12-18,0,0,0,0,0,2
"20",2014-12-19,0,0,0,0,0,1
"21",2014-12-27,0,0,0,48,131,1
"22",2014-12-28,0,0,0,6,27,1
"23",2014-12-29,0,0,0,25,53,0
"24",2014-12-30,0,0,0,7,22,0
"25",2014-12-31,0,0,0,17,29,0
"26",2015-01-01,0,0,0,23,39,0
"27",2015-01-02,0,0,0,11,8,3
"28",2015-01-03,0,0,0,4,13,1
"29",2015-01-05,0,0,0,28,42,2
"30",2015-01-06,0,0,0,0,0,3
"31",2015-01-08,0,0,0,0,0,1
"32",2015-01-09,0,0,0,0,0,2
"33",2015-01-13,0,0,0,0,0,2
"34",2015-01-14,0,0,0,0,0,1
"35",2015-01-18,0,0,0,0,0,3
"36",2015-01-19,0,0,0,0,0,3
"37",2015-01-20,0,0,0,0,0,2
"38",2015-01-21,0,0,0,0,0,1
"39",2015-01-24,0,0,0,0,0,3
"40",2015-01-25,0,0,0,0,0,3
"41",2015-01-28,0,0,0,0,0,2
"42",2015-01-29,0,0,0,0,0,2
"43",2015-02-03,0,0,0,0,0,3
"44",2015-02-04,0,0,0,7,32,1
"45",2015-02-05,0,0,0,15,18,1
"46",2015-02-08,0,0,0,2,15,0
"47",2015-02-10,0,0,0,2,2,1
"48",2015-02-11,0,0,0,0,0,1
"49",2015-02-12,0,0,0,1,1,2
"50",2015-02-13,0,0,0,4,9,1
"51",2015-02-14,0,0,0,4,8,2
"52",2015-02-16,0,0,0,2,18,2
"53",2015-02-18,0,0,0,4,3,3
"54",2015-02-19,0,0,0,0,0,4
"55",2015-02-20,0,0,0,0,0,1
"56",2015-02-24,0,0,0,7,20,0
"57",2015-02-26,0,0,0,0,0,2
"58",2015-02-27,0,0,0,0,0,1
"59",2015-03-01,0,0,0,0,0,1
"60",2015-03-03,0,0,0,2,2,2
"61",2015-03-04,0,0,0,0,0,2
"62",2015-03-09,0,0,0,1,14,1
"63",2015-03-10,0,0,0,2,16,2
"64",2015-03-13,0,0,0,0,0,1
"65",2015-03-14,0,0,0,21,82,7
"66",2015-03-15,0,0,0,3,2,1
"67",2015-03-17,0,0,0,0,0,1
"68",2015-03-18,0,0,0,5,13,2
"69",2015-03-19,0,0,0,7,42,1
"70",2015-03-20,0,0,0,3,10,1
"71",2015-03-21,0,0,0,0,1,0
"72",2015-03-23,0,0,0,2,7,0
"73",2015-03-24,0,0,0,0,0,1
"74",2015-03-25,0,0,0,0,5,1
"75",2015-03-26,0,0,0,1,7,0
"76",2015-03-27,0,0,0,3,5,0
"77",2015-03-29,0,0,0,0,1,0
"78",2015-03-30,0,0,0,0,8,0
"79",2015-03-31,0,0,0,0,1,0
"80",2015-04-04,0,0,0,0,1,0
"81",2015-04-05,0,0,0,4,7,2
"82",2015-04-06,0,0,0,0,3,0
"83",2015-04-08,0,0,0,1,4,0
"84",2015-04-10,0,0,0,2,5,0
"85",2015-04-14,0,0,0,0,0,1
"86",2015-04-15,0,0,0,4,8,0
"87",2015-04-16,0,0,0,7,6,0
"88",2015-04-19,0,0,0,2,11,0
"89",2015-04-21,0,0,0,0,7,1
"90",2015-04-22,0,0,0,2,4,1
"91",2015-04-24,0,0,0,1,4,0
"92",2015-04-28,0,0,0,1,7,0
"93",2015-04-30,0,0,0,1,3,0
"94",2015-05-02,0,0,0,2,7,0
"95",2015-05-06,0,0,0,0,0,1
"96",2015-05-08,0,0,0,3,1,24
"97",2015-05-09,0,0,0,3,1,0
"98",2015-05-10,0,0,0,3,5,1
"99",2015-05-15,0,0,0,4,10,0
"100",2015-05-18,0,0,0,6,15,0
"101",2015-05-20,0,0,0,9,6,0
"102",2015-05-21,0,0,0,11,14,1
"103",2015-05-22,0,0,0,5,6,0
"104",2015-05-23,0,0,0,3,5,0
"105",2015-05-24,0,0,0,5,4,1
"106",2015-05-25,0,0,0,3,1,0
"107",2015-05-26,0,0,0,0,0,2
"108",2015-05-27,0,0,0,1,5,0
"109",2015-05-28,0,0,0,0,0,1
"110",2015-05-29,0,0,0,0,1,0
"111",2015-05-31,5,0,0,0,0,0
"112",2015-06-01,7,0,0,0,0,1
"113",2015-06-02,6,0,0,7,3,3
"114",2015-06-03,57,0,0,2,4,10
"115",2015-06-04,2,0,0,0,0,1
"116",2015-06-06,2,0,0,0,0,2
"117",2015-06-07,5,0,0,0,0,4
"118",2015-06-08,8,0,0,4,4,5
"119",2015-06-09,9,0,0,0,0,1
"120",2015-06-10,3,0,0,0,0,3
"121",2015-06-11,15,0,0,9,11,1
"122",2015-06-12,7,0,0,7,29,0
"123",2015-06-13,2,0,0,0,0,1
"124",2015-06-14,1,0,0,4,18,0
"125",2015-06-16,0,0,0,9,24,2
"126",2015-06-17,8,0,0,15,29,1
"127",2015-06-18,6,0,0,6,14,4
"128",2015-06-19,8,0,0,21,50,1
"129",2015-06-20,2,0,0,0,0,0
"130",2015-06-21,2,0,0,0,0,0
"131",2015-06-22,3,0,0,3,6,4
"132",2015-06-23,32,0,0,17,51,3
"133",2015-06-24,4,0,0,4,4,0
"134",2015-06-25,20,0,0,10,27,1
"135",2015-06-27,1,0,0,0,0,0
"136",2015-06-28,3,0,0,0,0,0
"137",2015-06-29,5,0,0,0,0,0
"138",2015-06-30,2,0,0,1,0,2
"139",2015-07-01,3,0,0,0,0,2
"140",2015-07-02,3,0,0,24,70,0
"141",2015-07-03,9,0,0,2,5,1
"142",2015-07-05,4,0,0,19,41,1
"143",2015-07-07,4,0,0,0,8,0
"144",2015-07-13,9,0,0,0,0,0
"145",2015-07-14,2,0,0,0,0,0
"146",2015-07-20,16,0,0,82,203,6
"147",2015-07-21,40,0,0,27,33,4
"148",2015-07-22,62,0,0,15,30,1
"149",2015-07-23,8,0,0,4,4,0
"150",2015-07-24,2,0,0,3,8,1
"151",2015-07-27,0,0,0,0,0,1
"152",2015-07-28,3,0,0,0,0,0
"153",2015-07-29,5,0,0,45,119,1
"154",2015-07-30,2,0,0,7,31,0
"155",2015-08-01,0,0,0,0,0,1
"156",2015-08-04,1,0,0,35,122,2
"157",2015-08-05,1,0,0,0,0,0
"158",2015-08-06,2,0,0,8,19,0
"159",2015-08-10,1,0,0,0,0,0
"160",2015-08-11,2,0,0,0,0,0
"161",2015-08-13,8,0,0,7,35,2
"162",2015-08-15,3,0,0,62,178,2
"163",2015-08-16,0,0,0,0,0,2
"164",2015-08-17,1,0,0,0,0,0
"165",2015-08-21,5,0,0,32,107,4
"166",2015-08-28,1,0,0,1,1,0
"167",2015-09-02,3,0,0,0,8,1
"168",2015-09-04,10,0,0,105,262,7
"169",2015-09-05,0,0,0,0,0,1
"170",2015-09-07,5,0,0,11,18,1
"171",2015-09-08,4,0,0,36,96,3
"172",2015-09-09,8,0,0,7,11,2
"173",2015-09-10,2,0,0,4,7,0
"174",2015-09-11,3,0,0,22,60,3
"175",2015-09-14,2,0,0,24,56,0
"176",2015-09-15,1,0,0,10,16,1
"177",2015-09-17,0,0,0,0,0,1
"178",2015-09-18,2,0,0,0,0,0
"179",2015-09-19,1,0,0,32,87,2
"180",2015-09-20,1,1,0,0,0,1
"181",2015-09-21,2,0,0,0,2,1
"182",2015-09-22,1,0,0,1,3,0
"183",2015-09-25,1,0,0,41,105,3
"184",2015-09-26,0,0,0,0,0,2
"185",2015-09-27,0,0,0,0,0,1
"186",2015-09-28,0,0,0,0,0,1
"187",2015-09-29,9,7,16,35,94,3
"188",2015-09-30,11,2,6,15,25,3
"189",2015-10-01,2,1,2,1,4,0
"190",2015-10-04,0,1,0,0,0,0
"191",2015-10-05,0,1,0,0,0,0
"192",2015-10-06,50,13,30,45,115,5
"193",2015-10-07,11,0,1,3,2,0
"194",2015-10-08,4,0,0,0,0,2
"195",2015-10-09,1,0,0,0,1,0
"196",2015-10-11,1,0,0,0,0,0
"197",2015-10-12,1,1,1,13,25,3
"198",2015-10-13,4,0,0,51,96,1
"199",2015-10-14,3,0,0,6,7,1
"200",2015-10-15,5,1,1,0,0,1
"201",2015-10-18,3,0,3,13,53,3
"202",2015-10-19,6,3,3,2,25,1
"203",2015-10-20,5,1,1,5,17,0
"204",2015-10-21,3,0,0,26,59,1
"205",2015-10-22,5,0,0,12,14,1
"206",2015-10-23,3,0,0,0,0,1
"207",2015-10-24,0,1,0,0,0,0
"208",2015-10-26,12,0,1,0,0,2
"209",2015-10-27,3,0,2,0,0,0
"210",2015-10-28,4,0,1,0,0,0
"211",2015-10-29,1,0,0,0,0,0
"212",2015-10-30,15,9,11,36,117,7
"213",2015-10-31,14,16,15,113,590,11
"214",2015-11-01,20,7,10,5,122,10
"215",2015-11-02,19,6,9,23,41,7
"216",2015-11-03,3,0,0,10,33,0
"217",2015-11-04,7,0,0,1,5,2
"218",2015-11-05,1,0,1,0,0,0
"219",2015-11-06,7,6,5,13,46,4
"220",2015-11-07,2,0,2,0,0,0
"221",2015-11-08,1,0,0,0,0,0
"222",2015-11-09,4,5,7,62,79,1
"223",2015-11-10,11,13,14,10,19,4
"224",2015-11-11,7,0,1,0,0,0
"225",2015-11-12,3,1,0,31,35,4
"226",2015-11-18,2,1,2,0,0,0
"227",2015-11-20,2,0,0,40,157,2
"228",2015-11-22,0,0,0,0,0,1
"229",2015-11-26,0,0,0,0,0,1
"230",2015-11-30,8,0,3,53,123,7
"231",2015-12-01,10,8,9,6,28,4
"232",2015-12-02,5,4,2,0,0,0
"233",2015-12-03,2,0,0,2,12,0
"234",2015-12-04,0,0,0,0,0,1
"235",2015-12-08,0,0,0,0,0,1
"236",2015-12-10,6,0,0,0,0,0
"237",2015-12-12,8,2,1,49,103,4
"238",2015-12-13,0,2,0,0,0,0
"239",2015-12-14,2,1,4,10,54,0
"240",2015-12-15,8,1,3,0,0,2
"241",2015-12-16,5,0,0,7,26,0
"242",2015-12-17,12,0,1,9,14,3
"243",2015-12-18,2,0,0,0,0,1
"244",2015-12-21,0,0,0,0,0,1
"245",2015-12-22,1,0,0,0,0,0
"246",2015-12-23,1,2,5,56,129,7
"247",2015-12-24,44,20,22,16,16,2
"248",2015-12-25,0,1,0,0,1,1
"249",2015-12-26,3,0,0,0,0,0
"250",2016-01-01,25,9,18,120,462,7
"251",2016-01-02,73,59,88,56,362,21
"252",2016-01-03,101,159,158,70,520,19
"253",2016-01-04,5,6,4,0,0,2
"254",2016-01-05,18,21,24,7,54,0
"255",2016-01-06,8,4,3,0,0,0
"256",2016-01-07,9,5,6,0,0,0
"257",2016-01-08,8,2,0,1,7,1
"258",2016-01-09,1,0,3,0,0,0
"259",2016-01-10,5,1,1,13,28,1
"260",2016-01-11,7,0,0,4,7,1
"261",2016-01-12,1,0,0,12,46,1
"262",2016-01-13,1,1,1,9,0,3
"263",2016-01-15,7,0,2,13,28,1
"264",2016-01-16,7,1,0,2,4,0
"265",2016-01-17,34,15,21,9,8,1
"266",2016-01-18,27,6,10,11,26,1
"267",2016-01-19,0,3,0,0,0,0
"268",2016-01-20,2,0,0,1,8,0
"269",2016-01-21,22,41,56,32,91,1
"270",2016-01-22,9,2,2,3,1,0
"271",2016-01-23,2,0,2,14,41,2
"272",2016-01-24,1,2,1,9,35,2
"273",2016-01-25,1,0,0,3,4,0
"274",2016-01-26,1,0,0,1,4,1
"275",2016-01-27,1,0,0,0,1,1
"276",2016-01-28,7,4,11,3,22,3
"277",2016-01-29,0,1,0,0,0,0
"278",2016-01-31,4,0,1,0,0,0
"279",2016-02-02,2,2,2,16,117,4
"280",2016-02-03,1,2,0,0,6,0
"281",2016-02-04,0,0,0,0,0,1
"282",2016-02-05,0,1,0,0,0,0
"283",2016-02-06,1,0,0,0,8,0
"284",2016-02-18,7,2,2,51,233,7
"285",2016-02-19,10,0,0,13,21,2
"286",2016-02-20,6,0,0,16,21,5
"287",2016-02-21,28,12,14,21,37,1
"288",2016-02-22,7,2,1,22,27,1
"289",2016-02-23,2,0,0,1,4,0
"290",2016-02-24,20,0,1,25,33,4
"291",2016-02-25,9,0,0,2,2,0
"292",2016-02-26,1,0,0,1,0,0
"293",2016-02-27,6,1,0,54,89,4
"294",2016-02-28,3,0,1,2,5,1
"295",2016-02-29,0,0,0,0,0,1
"296",2016-03-01,2,1,0,12,16,4
"297",2016-03-02,2,1,3,6,10,1
"298",2016-03-03,0,1,0,0,0,0
"299",2016-03-05,2,1,5,1,4,0
"300",2016-03-06,5,4,4,51,105,7
"301",2016-03-07,12,6,10,17,25,2
"302",2016-03-08,2,0,0,12,16,0
"303",2016-03-09,8,1,0,6,10,3
"304",2016-03-10,3,1,2,6,10,1
"305",2016-03-11,1,1,1,13,43,1
"306",2016-03-12,3,0,0,8,51,0
"307",2016-03-14,1,0,0,0,0,0
"308",2016-03-15,6,4,5,27,62,2
"309",2016-03-16,4,3,2,0,0,2
"310",2016-03-17,2,3,3,0,0,0
"311",2016-03-18,6,0,0,25,55,3
"312",2016-03-21,0,1,0,0,0,0
"313",2016-03-23,5,0,5,47,58,5
"314",2016-03-24,40,19,35,16,30,5
"315",2016-03-25,5,0,0,9,44,5
"316",2016-03-26,5,2,1,25,242,11
"317",2016-03-27,0,0,0,0,0,1
"318",2016-03-28,3,0,8,17,102,0
"319",2016-03-29,64,38,55,72,157,4
"320",2016-03-30,9,1,1,8,18,0
"321",2016-03-31,6,2,2,21,19,2
"322",2016-04-01,5,2,2,9,33,0
"323",2016-04-03,17,1,2,24,60,2
"324",2016-04-04,6,2,2,4,15,1
"325",2016-04-05,11,0,0,17,20,3
"326",2016-04-06,92,40,75,1148,3506,52
"327",2016-04-07,24,16,19,186,741,35
"328",2016-04-08,0,5,0,15,20,7
"329",2016-04-09,17,5,15,272,621,6
"330",2016-04-10,135,125,164,1632,3512,91
"331",2016-04-11,18,22,25,225,587,44
"332",2016-04-12,91,104,137,1231,3548,65
"333",2016-04-13,117,247,262,528,1897,72
"334",2016-04-14,29,49,57,1,11,27
"335",2016-04-15,10,23,9,0,0,4
"336",2016-04-16,74,99,166,523,1175,55
"337",2016-04-17,74,103,128,66,120,24
"338",2016-04-18,62,106,102,299,666,21
"339",2016-04-19,67,48,64,314,809,23
"340",2016-04-20,44,19,30,16,18,16
"341",2016-04-21,2,12,0,0,0,5
"342",2016-04-22,1,3,0,0,0,3
"343",2016-04-23,0,3,0,0,0,0
"344",2016-04-24,21,28,38,3,21,1
"345",2016-04-25,9,5,6,2,6,2
"346",2016-04-26,9,7,19,93,441,19
"347",2016-04-27,91,121,151,462,1945,30
"348",2016-04-28,103,65,91,778,1701,60
"349",2016-04-29,16,12,9,9,23,40
"350",2016-04-30,23,43,67,47,221,14
"351",2016-05-01,69,70,93,232,407,22
"352",2016-05-02,117,68,86,211,483,26
"353",2016-05-03,7,9,8,31,115,13
"354",2016-05-04,5,5,1,11,13,3
"355",2016-05-05,4,13,4,9,17,5
"356",2016-05-06,2,1,1,16,31,5
"357",2016-05-07,5,2,2,0,0,2
"358",2016-05-08,37,60,71,153,422,37
"359",2016-05-09,71,92,109,131,399,22
"360",2016-05-10,16,15,19,9,19,9
"361",2016-05-11,22,13,9,30,75,6
"362",2016-05-12,42,17,24,83,233,11
"363",2016-05-13,7,10,5,2,1,9
"364",2016-05-14,64,50,59,54,122,10
"365",2016-05-15,8,6,6,20,21,3
"366",2016-05-16,7,5,5,29,51,6
"367",2016-05-17,1,3,0,0,0,3
"368",2016-05-18,5,1,3,4,13,1
"369",2016-05-19,13,0,1,10,6,1
"370",2016-05-20,12,8,5,4,7,1
"371",2016-05-21,3,1,0,0,0,1
"372",2016-05-22,4,0,1,9,11,3
"373",2016-05-23,13,7,10,4,8,0
"374",2016-05-24,2,0,0,0,0,0
"375",2016-05-25,2,1,0,0,0,0
"376",2016-05-26,21,5,9,167,468,9
"377",2016-05-27,0,1,0,0,0,8
"378",2016-05-28,54,36,54,253,538,22
"379",2016-05-29,89,49,44,638,1440,23
"380",2016-05-30,81,106,142,319,950,32
"381",2016-05-31,57,79,70,207,429,16
"382",2016-06-01,54,49,53,22,47,13
"383",2016-06-02,75,61,121,520,1380,20
"384",2016-06-03,27,26,29,60,87,15
"385",2016-06-04,9,9,7,3,6,5
"386",2016-06-05,29,13,14,140,308,5
"387",2016-06-06,18,13,14,29,81,7
"388",2016-06-07,14,11,15,19,40,7
"389",2016-06-08,0,0,0,0,0,3
"390",2016-06-09,1,0,3,66,204,4
"391",2016-06-10,163,158,216,1229,2612,40
"392",2016-06-11,49,45,63,72,143,32
"393",2016-06-12,30,21,19,22,34,3
"394",2016-06-13,95,56,93,260,519,20
"395",2016-06-14,140,119,165,183,331,11
"396",2016-06-15,107,44,70,87,195,6
"397",2016-06-16,6,3,7,0,0,3
"398",2016-06-17,19,14,13,107,339,1
"399",2016-06-18,2,3,1,0,0,5
"400",2016-06-19,1,3,2,0,0,3
"401",2016-06-20,2,0,2,0,0,1
"402",2016-06-21,5,1,2,1,2,1
"403",2016-06-22,3,1,0,1,0,6
"404",2016-06-23,5,1,1,27,52,3
"405",2016-06-24,29,28,38,240,522,10
"406",2016-06-25,57,65,70,7,14,23
"407",2016-06-26,0,4,0,0,0,3
"408",2016-06-27,127,133,181,188,454,9
"409",2016-06-28,60,33,53,16,35,7
"410",2016-06-29,42,20,22,8,8,2
"411",2016-06-30,44,19,28,112,252,6
"412",2016-07-01,14,7,7,4,8,4
"413",2016-07-02,147,111,157,556,1160,24
"414",2016-07-03,24,18,21,2,3,11
"415",2016-07-04,83,61,78,195,400,18
"416",2016-07-05,109,88,104,110,238,5
"417",2016-07-06,7,9,6,13,19,2
"418",2016-07-07,21,7,13,79,201,4
"419",2016-07-08,95,27,46,667,1673,29
"420",2016-07-09,42,10,8,63,145,20
"421",2016-07-10,1,3,0,33,48,8
"422",2016-07-11,6,0,5,14,21,8
"423",2016-07-12,19,10,20,11,25,2
"424",2016-07-13,4,0,1,8,13,1
"425",2016-07-14,7,1,2,17,31,1
"426",2016-07-15,2,0,0,0,0,0
"427",2016-07-16,2,0,0,11,13,3
"428",2016-07-17,4,1,1,22,32,2
"429",2016-07-18,2,2,1,8,15,1
"430",2016-07-19,10,4,6,18,34,0
"431",2016-07-20,6,2,1,6,14,3
"432",2016-07-21,14,15,17,7,20,0
"433",2016-07-22,1,0,0,0,0,0
"434",2016-07-23,2,1,0,0,0,1
"435",2016-07-24,0,0,0,0,0,2
"436",2016-07-25,2,0,0,2,2,0
"437",2016-07-26,8,0,0,29,64,2
"438",2016-07-27,0,1,0,5,7,2
"439",2016-07-28,4,1,0,4,4,0
"440",2016-07-30,0,0,0,0,0,1
"441",2016-08-02,5,2,0,20,39,2
"442",2016-08-03,0,3,0,5,9,2
"443",2016-08-05,7,2,2,19,43,0
"444",2016-08-06,9,4,1,3,0,3
"445",2016-08-11,0,1,0,0,0,0
"446",2016-08-12,0,0,0,0,0,2
"447",2016-08-14,2,0,2,0,0,1
"448",2016-08-16,8,4,9,24,99,4
"449",2016-08-17,5,2,1,1,1,2
"450",2016-08-18,0,0,0,0,0,1
"451",2016-08-19,0,1,0,0,0,0
"452",2016-08-20,2,1,1,0,0,2
"453",2016-08-21,0,0,0,0,0,1
"454",2016-08-23,1,1,1,0,0,1
"455",2016-08-26,3,1,5,83,186,12
"456",2016-08-27,12,9,10,10,22,0
"457",2016-08-30,2,0,0,0,0,0
"458",2016-09-01,3,0,0,57,131,3
"459",2016-09-02,23,3,15,414,787,26
"460",2016-09-03,45,29,48,211,555,21
"461",2016-09-04,59,43,46,24,28,9
"462",2016-09-05,57,59,98,158,314,19
"463",2016-09-06,141,114,141,252,372,25
"464",2016-09-07,9,10,6,33,46,18
"465",2016-09-08,64,54,94,81,151,23
"466",2016-09-09,27,22,18,86,195,29
"467",2016-09-10,8,2,1,13,17,0
"468",2016-09-11,0,2,0,0,0,7
"469",2016-09-12,0,3,0,0,0,4
"470",2016-09-13,0,0,0,0,0,3
"471",2016-09-14,0,0,0,0,0,2
"472",2016-09-15,3,0,12,3,3,0
"473",2016-09-16,12,15,14,9,17,6
"474",2016-09-17,2,1,4,0,1,1
"475",2016-09-18,9,8,7,4,8,1
"476",2016-09-20,2,0,0,0,0,0
"477",2016-09-26,11,12,15,12,20,3
"478",2016-09-27,36,32,46,71,179,22
"479",2016-09-28,7,8,12,50,112,9
"480",2016-09-29,11,22,44,80,234,8
"481",2016-09-30,65,114,149,186,517,21
"482",2016-10-01,106,96,110,27,88,14
"483",2016-10-02,27,20,31,34,75,8
"484",2016-10-03,0,3,0,0,0,1
"485",2016-10-04,7,3,13,16,37,7
"486",2016-10-05,0,1,0,0,0,1
"487",2016-10-06,17,18,22,0,4,3
"488",2016-10-07,0,29,40,0,0,4
"489",2016-10-08,0,1,1,0,0,0
"490",2016-10-09,0,0,0,0,0,2
"491",2016-10-10,0,0,1,0,0,0
"492",2016-10-11,0,0,0,0,2,0
"493",2016-10-12,3,0,0,1,6,4
"494",2016-10-13,50,24,44,88,211,11
"495",2016-10-14,130,80,92,34,67,7
"496",2016-10-15,0,3,0,0,0,2
"497",2016-10-16,56,56,68,35,91,4
"498",2016-10-17,22,13,15,8,4,4
"499",2016-10-18,3,0,1,11,25,3
"500",2016-10-19,0,1,0,0,0,0
"501",2016-10-20,8,4,5,8,55,2
"502",2016-10-21,4,0,3,3,4,2
"503",2016-10-22,8,2,2,22,46,5
"504",2016-10-23,0,1,0,0,0,1
"505",2016-10-24,1,0,4,2,17,4
"506",2016-10-25,6,26,20,24,45,3
"507",2016-10-26,2,2,0,1,2,1
"508",2016-10-28,0,0,0,0,0,4
